Epoch	LR	Train Loss	
1.000000	0.010000	0.117337	
1.000000	0.010000	0.115311	
2.000000	0.009700	0.115361	
2.000000	0.009700	0.115079	
3.000000	0.009409	0.115088	
3.000000	0.009409	0.115067	
4.000000	0.009127	0.114990	
4.000000	0.009127	0.115587	
5.000000	0.008853	0.114958	
5.000000	0.008853	0.117564	
6.000000	0.008587	0.114945	
6.000000	0.008587	0.124112	
7.000000	0.008330	0.114939	
7.000000	0.008330	0.139520	
8.000000	0.008080	0.114936	
8.000000	0.008080	0.164664	
9.000000	0.007837	0.114934	
9.000000	0.007837	0.182133	
10.000000	0.007602	0.114934	
10.000000	0.007602	0.161794	
11.000000	0.007374	0.114933	
11.000000	0.007374	0.143597	
12.000000	0.007153	0.114933	
12.000000	0.007153	0.132201	
13.000000	0.006938	0.114933	
13.000000	0.006938	0.125108	
14.000000	0.006730	0.114933	
14.000000	0.006730	0.125627	
15.000000	0.006528	0.114933	
15.000000	0.006528	0.125727	
16.000000	0.006333	0.114933	
16.000000	0.006333	0.125777	
17.000000	0.006143	0.114933	
17.000000	0.006143	0.125790	
18.000000	0.005958	0.114933	
18.000000	0.005958	0.125812	
19.000000	0.005780	0.114933	
19.000000	0.005780	0.125826	
20.000000	0.005606	0.114933	
20.000000	0.005606	0.125816	
