Epoch	LR	Train Loss	
1.000000	0.010000	0.191746	
1.000000	0.010000	0.183041	
2.000000	0.009700	0.159210	
2.000000	0.009700	0.161816	
3.000000	0.009409	0.155837	
3.000000	0.009409	0.160079	
4.000000	0.009127	0.155286	
4.000000	0.009127	0.163683	
5.000000	0.008853	0.154622	
5.000000	0.008853	0.172905	
6.000000	0.008587	0.154415	
6.000000	0.008587	0.200448	
7.000000	0.008330	0.154362	
7.000000	0.008330	0.246097	
8.000000	0.008080	0.154348	
8.000000	0.008080	0.289341	
9.000000	0.007837	0.154342	
9.000000	0.007837	0.289246	
10.000000	0.007602	0.154340	
10.000000	0.007602	0.282532	
11.000000	0.007374	0.154338	
11.000000	0.007374	0.217488	
12.000000	0.007153	0.154338	
12.000000	0.007153	0.168867	
13.000000	0.006938	0.154338	
13.000000	0.006938	0.168653	
14.000000	0.006730	0.154338	
14.000000	0.006730	0.169151	
15.000000	0.006528	0.154338	
15.000000	0.006528	0.169381	
16.000000	0.006333	0.154338	
16.000000	0.006333	0.169733	
17.000000	0.006143	0.154338	
17.000000	0.006143	0.169271	
18.000000	0.005958	0.154338	
18.000000	0.005958	0.168926	
19.000000	0.005780	0.154338	
19.000000	0.005780	0.167758	
20.000000	0.005606	0.154338	
20.000000	0.005606	0.166989	
