Epoch	LR	Train Loss	
1.000000	0.010000	0.114743	
1.000000	0.010000	0.090758	
2.000000	0.009700	0.090048	
2.000000	0.009700	0.092339	
3.000000	0.009409	0.086294	
3.000000	0.009409	0.119270	
4.000000	0.009127	0.084867	
4.000000	0.009127	0.190204	
5.000000	0.008853	0.084301	
5.000000	0.008853	0.241371	
6.000000	0.008587	0.084030	
6.000000	0.008587	0.337737	
7.000000	0.008330	0.083895	
7.000000	0.008330	0.418159	
8.000000	0.008080	0.083826	
8.000000	0.008080	0.463801	
9.000000	0.007837	0.083787	
9.000000	0.007837	0.477316	
10.000000	0.007602	0.083763	
10.000000	0.007602	0.469996	
11.000000	0.007374	0.083748	
11.000000	0.007374	0.407283	
12.000000	0.007153	0.083736	
12.000000	0.007153	0.225170	
13.000000	0.006938	0.083728	
13.000000	0.006938	0.120134	
14.000000	0.006730	0.083721	
14.000000	0.006730	0.122489	
15.000000	0.006528	0.083715	
15.000000	0.006528	0.126826	
16.000000	0.006333	0.083711	
16.000000	0.006333	0.128710	
17.000000	0.006143	0.083707	
17.000000	0.006143	0.128561	
18.000000	0.005958	0.083704	
18.000000	0.005958	0.130071	
19.000000	0.005780	0.083701	
19.000000	0.005780	0.131791	
20.000000	0.005606	0.083699	
20.000000	0.005606	0.131289	
