Epoch	LR	Train Loss	
1.000000	0.010000	0.120016	
1.000000	0.010000	0.115426	
2.000000	0.009700	0.115285	
2.000000	0.009700	0.115761	
3.000000	0.009409	0.114206	
3.000000	0.009409	0.117598	
4.000000	0.009127	0.113404	
4.000000	0.009127	0.124761	
5.000000	0.008853	0.112819	
5.000000	0.008853	0.148026	
6.000000	0.008587	0.112348	
6.000000	0.008587	0.206745	
7.000000	0.008330	0.112019	
7.000000	0.008330	0.284705	
8.000000	0.008080	0.111820	
8.000000	0.008080	0.368623	
9.000000	0.007837	0.111696	
9.000000	0.007837	0.429909	
10.000000	0.007602	0.111611	
10.000000	0.007602	0.420448	
11.000000	0.007374	0.111550	
11.000000	0.007374	0.319410	
12.000000	0.007153	0.111505	
12.000000	0.007153	0.176989	
13.000000	0.006938	0.111470	
13.000000	0.006938	0.132009	
14.000000	0.006730	0.111441	
14.000000	0.006730	0.131253	
15.000000	0.006528	0.111418	
15.000000	0.006528	0.129958	
16.000000	0.006333	0.111401	
16.000000	0.006333	0.127820	
17.000000	0.006143	0.111384	
17.000000	0.006143	0.124502	
18.000000	0.005958	0.111371	
18.000000	0.005958	0.122332	
19.000000	0.005780	0.111361	
19.000000	0.005780	0.121875	
