Epoch	LR	Train Loss	
1.000000	0.010000	0.145569	
1.000000	0.010000	0.121318	
2.000000	0.009700	0.116294	
2.000000	0.009700	0.113710	
3.000000	0.009409	0.112204	
3.000000	0.009409	0.149288	
4.000000	0.009127	0.110770	
4.000000	0.009127	0.209641	
5.000000	0.008853	0.110012	
5.000000	0.008853	0.330245	
6.000000	0.008587	0.109384	
6.000000	0.008587	0.444599	
7.000000	0.008330	0.108839	
7.000000	0.008330	0.527023	
8.000000	0.008080	0.108301	
8.000000	0.008080	0.526703	
9.000000	0.007837	0.107795	
9.000000	0.007837	0.520506	
10.000000	0.007602	0.107330	
10.000000	0.007602	0.539885	
11.000000	0.007374	0.106926	
11.000000	0.007374	0.391986	
12.000000	0.007153	0.106586	
12.000000	0.007153	0.193808	
13.000000	0.006938	0.106306	
13.000000	0.006938	0.183613	
14.000000	0.006730	0.106078	
14.000000	0.006730	0.177975	
15.000000	0.006528	0.105893	
15.000000	0.006528	0.163918	
16.000000	0.006333	0.105744	
16.000000	0.006333	0.158708	
17.000000	0.006143	0.105621	
17.000000	0.006143	0.165958	
18.000000	0.005958	0.105518	
18.000000	0.005958	0.153852	
19.000000	0.005780	0.105428	
19.000000	0.005780	0.135426	
20.000000	0.005606	0.105350	
20.000000	0.005606	0.125358	
