Epoch	LR	Train Loss	
1.000000	0.010000	0.118995	
1.000000	0.010000	0.107550	
2.000000	0.009700	0.102618	
2.000000	0.009700	0.101479	
3.000000	0.009409	0.100337	
3.000000	0.009409	0.101141	
4.000000	0.009127	0.099288	
4.000000	0.009127	0.104515	
5.000000	0.008853	0.098967	
5.000000	0.008853	0.114133	
6.000000	0.008587	0.098842	
6.000000	0.008587	0.142980	
7.000000	0.008330	0.098789	
7.000000	0.008330	0.194270	
8.000000	0.008080	0.098758	
8.000000	0.008080	0.266424	
9.000000	0.007837	0.098734	
9.000000	0.007837	0.315647	
10.000000	0.007602	0.098712	
10.000000	0.007602	0.331132	
11.000000	0.007374	0.098693	
11.000000	0.007374	0.300019	
12.000000	0.007153	0.098675	
12.000000	0.007153	0.181509	
13.000000	0.006938	0.098659	
13.000000	0.006938	0.112965	
14.000000	0.006730	0.098644	
14.000000	0.006730	0.113850	
15.000000	0.006528	0.098629	
15.000000	0.006528	0.114428	
16.000000	0.006333	0.098615	
16.000000	0.006333	0.115463	
17.000000	0.006143	0.098601	
17.000000	0.006143	0.116062	
18.000000	0.005958	0.098588	
18.000000	0.005958	0.116625	
19.000000	0.005780	0.098576	
19.000000	0.005780	0.114378	
20.000000	0.005606	0.098564	
20.000000	0.005606	0.113964	
