Epoch	LR	Train Loss	
1.000000	0.010000	0.110950	
1.000000	0.010000	0.109756	
2.000000	0.009700	0.109432	
2.000000	0.009700	0.110151	
3.000000	0.009409	0.109193	
3.000000	0.009409	0.110764	
4.000000	0.009127	0.109015	
4.000000	0.009127	0.114300	
5.000000	0.008853	0.108830	
5.000000	0.008853	0.123980	
6.000000	0.008587	0.108687	
6.000000	0.008587	0.153510	
7.000000	0.008330	0.108624	
7.000000	0.008330	0.219762	
8.000000	0.008080	0.108601	
8.000000	0.008080	0.318247	
9.000000	0.007837	0.108596	
9.000000	0.007837	0.404265	
10.000000	0.007602	0.108594	
10.000000	0.007602	0.421673	
11.000000	0.007374	0.108594	
11.000000	0.007374	0.347169	
12.000000	0.007153	0.108594	
12.000000	0.007153	0.193956	
13.000000	0.006938	0.108593	
13.000000	0.006938	0.136505	
14.000000	0.006730	0.108593	
14.000000	0.006730	0.138204	
15.000000	0.006528	0.108593	
15.000000	0.006528	0.138821	
16.000000	0.006333	0.108593	
16.000000	0.006333	0.139159	
17.000000	0.006143	0.108593	
17.000000	0.006143	0.139316	
18.000000	0.005958	0.108593	
18.000000	0.005958	0.139381	
19.000000	0.005780	0.108593	
19.000000	0.005780	0.139406	
20.000000	0.005606	0.108593	
20.000000	0.005606	0.139425	
