Epoch	LR	Train Loss	
1.000000	0.010000	0.198589	
1.000000	0.010000	0.168805	
2.000000	0.009700	0.124019	
2.000000	0.009700	0.114413	
3.000000	0.009409	0.107647	
3.000000	0.009409	0.177466	
4.000000	0.009127	0.103189	
4.000000	0.009127	0.208309	
5.000000	0.008853	0.100895	
5.000000	0.008853	0.253678	
6.000000	0.008587	0.099863	
6.000000	0.008587	0.307634	
7.000000	0.008330	0.099245	
7.000000	0.008330	0.344921	
8.000000	0.008080	0.098875	
8.000000	0.008080	0.374873	
9.000000	0.007837	0.098633	
9.000000	0.007837	0.374233	
10.000000	0.007602	0.098466	
10.000000	0.007602	0.369959	
11.000000	0.007374	0.098340	
11.000000	0.007374	0.334718	
12.000000	0.007153	0.098237	
12.000000	0.007153	0.256701	
13.000000	0.006938	0.098150	
13.000000	0.006938	0.176722	
14.000000	0.006730	0.098072	
14.000000	0.006730	0.169035	
15.000000	0.006528	0.098002	
15.000000	0.006528	0.166407	
16.000000	0.006333	0.097938	
16.000000	0.006333	0.168883	
17.000000	0.006143	0.097880	
17.000000	0.006143	0.163372	
18.000000	0.005958	0.097826	
18.000000	0.005958	0.161434	
19.000000	0.005780	0.097775	
19.000000	0.005780	0.155869	
20.000000	0.005606	0.097729	
20.000000	0.005606	0.149682	
