Epoch	LR	Train Loss	
1.000000	0.010000	0.115564	
1.000000	0.010000	0.106855	
2.000000	0.009700	0.102819	
2.000000	0.009700	0.102044	
3.000000	0.009409	0.101108	
3.000000	0.009409	0.109345	
4.000000	0.009127	0.100542	
4.000000	0.009127	0.112641	
5.000000	0.008853	0.100185	
5.000000	0.008853	0.136344	
6.000000	0.008587	0.100064	
6.000000	0.008587	0.188053	
7.000000	0.008330	0.100016	
7.000000	0.008330	0.256465	
8.000000	0.008080	0.099982	
8.000000	0.008080	0.366011	
9.000000	0.007837	0.099958	
9.000000	0.007837	0.413792	
10.000000	0.007602	0.099942	
10.000000	0.007602	0.394870	
11.000000	0.007374	0.099931	
11.000000	0.007374	0.212484	
12.000000	0.007153	0.099923	
12.000000	0.007153	0.121133	
13.000000	0.006938	0.099916	
13.000000	0.006938	0.111685	
14.000000	0.006730	0.099911	
14.000000	0.006730	0.112860	
15.000000	0.006528	0.099907	
15.000000	0.006528	0.113189	
16.000000	0.006333	0.099903	
16.000000	0.006333	0.113729	
17.000000	0.006143	0.099901	
17.000000	0.006143	0.113937	
18.000000	0.005958	0.099898	
18.000000	0.005958	0.113900	
19.000000	0.005780	0.099896	
19.000000	0.005780	0.113601	
20.000000	0.005606	0.099895	
20.000000	0.005606	0.113576	
