Epoch	LR	Train Loss	
1.000000	0.010000	0.088518	
1.000000	0.010000	0.086975	
2.000000	0.009700	0.086297	
2.000000	0.009700	0.087569	
3.000000	0.009409	0.085985	
3.000000	0.009409	0.089844	
4.000000	0.009127	0.085846	
4.000000	0.009127	0.098905	
5.000000	0.008853	0.085767	
5.000000	0.008853	0.126422	
6.000000	0.008587	0.085710	
6.000000	0.008587	0.189600	
7.000000	0.008330	0.085667	
7.000000	0.008330	0.286897	
8.000000	0.008080	0.085637	
8.000000	0.008080	0.372241	
9.000000	0.007837	0.085619	
9.000000	0.007837	0.412730	
10.000000	0.007602	0.085610	
10.000000	0.007602	0.406948	
11.000000	0.007374	0.085608	
11.000000	0.007374	0.318448	
12.000000	0.007153	0.085608	
12.000000	0.007153	0.177017	
13.000000	0.006938	0.085608	
13.000000	0.006938	0.117761	
14.000000	0.006730	0.085608	
14.000000	0.006730	0.120960	
15.000000	0.006528	0.085608	
15.000000	0.006528	0.122079	
16.000000	0.006333	0.085608	
16.000000	0.006333	0.122247	
17.000000	0.006143	0.085608	
17.000000	0.006143	0.122186	
18.000000	0.005958	0.085608	
18.000000	0.005958	0.122053	
19.000000	0.005780	0.085608	
19.000000	0.005780	0.121969	
20.000000	0.005606	0.085608	
20.000000	0.005606	0.121934	
