Epoch	LR	Train Loss	
1.000000	0.010000	0.143637	
1.000000	0.010000	0.123424	
2.000000	0.009700	0.117333	
2.000000	0.009700	0.116587	
3.000000	0.009409	0.112932	
3.000000	0.009409	0.130155	
4.000000	0.009127	0.111710	
4.000000	0.009127	0.178918	
5.000000	0.008853	0.110934	
5.000000	0.008853	0.266050	
6.000000	0.008587	0.110545	
6.000000	0.008587	0.349553	
7.000000	0.008330	0.110241	
7.000000	0.008330	0.447179	
8.000000	0.008080	0.110004	
8.000000	0.008080	0.484734	
9.000000	0.007837	0.109815	
9.000000	0.007837	0.494271	
10.000000	0.007602	0.109663	
10.000000	0.007602	0.485736	
11.000000	0.007374	0.109539	
11.000000	0.007374	0.446814	
12.000000	0.007153	0.109428	
12.000000	0.007153	0.162620	
13.000000	0.006938	0.109324	
13.000000	0.006938	0.158866	
14.000000	0.006730	0.109223	
14.000000	0.006730	0.162438	
15.000000	0.006528	0.109121	
15.000000	0.006528	0.163848	
16.000000	0.006333	0.109017	
16.000000	0.006333	0.169388	
17.000000	0.006143	0.108911	
17.000000	0.006143	0.175328	
18.000000	0.005958	0.108808	
18.000000	0.005958	0.168835	
19.000000	0.005780	0.108715	
19.000000	0.005780	0.162678	
20.000000	0.005606	0.108639	
20.000000	0.005606	0.159724	
