Epoch	LR	Train Loss	
1.000000	0.010000	0.124211	
1.000000	0.010000	0.111371	
2.000000	0.009700	0.102948	
2.000000	0.009700	0.100814	
3.000000	0.009409	0.100094	
3.000000	0.009409	0.101544	
4.000000	0.009127	0.099118	
4.000000	0.009127	0.102873	
5.000000	0.008853	0.098670	
5.000000	0.008853	0.117619	
6.000000	0.008587	0.098469	
6.000000	0.008587	0.156822	
7.000000	0.008330	0.098350	
7.000000	0.008330	0.225630	
8.000000	0.008080	0.098270	
8.000000	0.008080	0.308035	
9.000000	0.007837	0.098205	
9.000000	0.007837	0.365490	
10.000000	0.007602	0.098146	
10.000000	0.007602	0.332644	
11.000000	0.007374	0.098087	
11.000000	0.007374	0.236911	
12.000000	0.007153	0.098028	
12.000000	0.007153	0.171116	
13.000000	0.006938	0.097967	
13.000000	0.006938	0.149495	
14.000000	0.006730	0.097905	
14.000000	0.006730	0.154892	
15.000000	0.006528	0.097841	
15.000000	0.006528	0.158920	
16.000000	0.006333	0.097777	
16.000000	0.006333	0.161528	
17.000000	0.006143	0.097713	
17.000000	0.006143	0.157856	
18.000000	0.005958	0.097650	
18.000000	0.005958	0.145842	
19.000000	0.005780	0.097591	
19.000000	0.005780	0.137833	
20.000000	0.005606	0.097535	
20.000000	0.005606	0.138518	
