Epoch	LR	Train Loss	
1.000000	0.010000	0.105982	
1.000000	0.010000	0.100028	
2.000000	0.009700	0.099577	
2.000000	0.009700	0.099378	
3.000000	0.009409	0.098728	
3.000000	0.009409	0.101977	
4.000000	0.009127	0.098457	
4.000000	0.009127	0.104982	
5.000000	0.008853	0.098335	
5.000000	0.008853	0.117299	
6.000000	0.008587	0.098243	
6.000000	0.008587	0.147747	
7.000000	0.008330	0.098122	
7.000000	0.008330	0.213504	
8.000000	0.008080	0.097996	
8.000000	0.008080	0.266892	
9.000000	0.007837	0.097951	
9.000000	0.007837	0.313357	
10.000000	0.007602	0.097949	
10.000000	0.007602	0.325010	
11.000000	0.007374	0.097947	
11.000000	0.007374	0.289731	
12.000000	0.007153	0.097945	
12.000000	0.007153	0.198579	
13.000000	0.006938	0.097945	
13.000000	0.006938	0.139771	
14.000000	0.006730	0.097945	
14.000000	0.006730	0.135934	
15.000000	0.006528	0.097945	
15.000000	0.006528	0.134460	
16.000000	0.006333	0.097945	
16.000000	0.006333	0.134427	
17.000000	0.006143	0.097945	
17.000000	0.006143	0.135116	
18.000000	0.005958	0.097945	
18.000000	0.005958	0.135781	
19.000000	0.005780	0.097945	
19.000000	0.005780	0.136092	
20.000000	0.005606	0.097945	
20.000000	0.005606	0.136160	
